Frame numero: 55 | Tiempo total desde el inicio: 2535 milisegundos | Tiempo de procesamiento por cada frame: 30 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 12.3 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 1.54 milisegundos | Posprocesamiento: 11 milisegundos |
Frame numero: 56 | Tiempo total desde el inicio: 2566 milisegundos | Tiempo de procesamiento por cada frame: 30 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 11.6 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 2.52 milisegundos | Posprocesamiento: 12 milisegundos |
Frame numero: 57 | Tiempo total desde el inicio: 2598 milisegundos | Tiempo de procesamiento por cada frame: 32 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 13.3 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 0.777 milisegundos | Posprocesamiento: 14 milisegundos |
Frame numero: 58 | Tiempo total desde el inicio: 2633 milisegundos | Tiempo de procesamiento por cada frame: 33 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 13.5 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 3.73 milisegundos | Posprocesamiento: 13 milisegundos |
Frame numero: 59 | Tiempo total desde el inicio: 2666 milisegundos | Tiempo de procesamiento por cada frame: 32 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 12.1 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 0.795 milisegundos | Posprocesamiento: 16 milisegundos |
Frame numero: 60 | Tiempo total desde el inicio: 2694 milisegundos | Tiempo de procesamiento por cada frame: 28 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 11.9 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 0.719 milisegundos | Posprocesamiento: 12 milisegundos |
Frame numero: 61 | Tiempo total desde el inicio: 2727 milisegundos | Tiempo de procesamiento por cada frame: 32 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 11.8 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 0.807 milisegundos | Posprocesamiento: 15 milisegundos |
Frame numero: 62 | Tiempo total desde el inicio: 2760 milisegundos | Tiempo de procesamiento por cada frame: 33 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 12.8 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 1.14 milisegundos | Posprocesamiento: 15 milisegundos |
Frame numero: 63 | Tiempo total desde el inicio: 2793 milisegundos | Tiempo de procesamiento por cada frame: 32 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 11.6 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 2.68 milisegundos | Posprocesamiento: 15 milisegundos |
Frame numero: 64 | Tiempo total desde el inicio: 2820 milisegundos | Tiempo de procesamiento por cada frame: 26 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 11.9 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 0.741 milisegundos | Posprocesamiento: 10 milisegundos |
Frame numero: 65 | Tiempo total desde el inicio: 2854 milisegundos | Tiempo de procesamiento por cada frame: 32 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 15.9 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 1.13 milisegundos | Posprocesamiento: 11 milisegundos |
Frame numero: 66 | Tiempo total desde el inicio: 2886 milisegundos | Tiempo de procesamiento por cada frame: 31 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 15.1 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 2.13 milisegundos | Posprocesamiento: 9 milisegundos |
Frame numero: 67 | Tiempo total desde el inicio: 2915 milisegundos | Tiempo de procesamiento por cada frame: 28 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 13.6 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 1.23 milisegundos | Posprocesamiento: 8 milisegundos |
Frame numero: 68 | Tiempo total desde el inicio: 2945 milisegundos | Tiempo de procesamiento por cada frame: 29 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 12.6 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 0.744 milisegundos | Posprocesamiento: 13 milisegundos |
Frame numero: 69 | Tiempo total desde el inicio: 2977 milisegundos | Tiempo de procesamiento por cada frame: 31 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 12.1 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 1.51 milisegundos | Posprocesamiento: 13 milisegundos |
Frame numero: 70 | Tiempo total desde el inicio: 3004 milisegundos | Tiempo de procesamiento por cada frame: 27 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 11.8 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 0.91 milisegundos | Posprocesamiento: 11 milisegundos |
Frame numero: 71 | Tiempo total desde el inicio: 3033 milisegundos | Tiempo de procesamiento por cada frame: 28 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 13.8 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 1.37 milisegundos | Posprocesamiento: 8 milisegundos |
